name;primary_fuel;capacity_mw;Year;Generation_GWh;longitude;latitude
ARRIGHI;Oil;254.0;2013;;2.4033;48.7872
ASTON;Hydro;104.0;2013;;1.677;42.777
AVIGNON;Hydro;126.0;2013;;4.817;43.976
Ablaincourt-Pressoir;Wind;14.35;2013;;2.8247;49.8414
Ablainzevelle;Wind;10.0;2013;;2.741;50.1529
Achiet-le-Grand;Wind;18.0;2013;;2.7791;50.1327
Adriers;Wind;10.0;2013;;0.7899;46.2644
Agde;Solar;1.15956;2013;;3.4846;43.3094
Agenville;Wind;6.0;2013;;2.1079;50.1715
Aghione;Solar;8.53314;2013;;9.4119;42.0986
Aghione 2;Solar;4.0;2013;;9.3986;42.0849
Aghione 3;Solar;12.0;2013;;9.4;42.096
Agos-Vidalos;Hydro;1.6;2013;;-0.0753;43.0398
Aigaliers;Solar;10.9;2013;;4.307;44.068
Aigrefeuille-d'Aunis;Solar;2.18556;2013;;-0.9444;46.1165
Aiguillon;Hydro;1.177;2013;;0.3577;44.3009
Aiguillon;Solar;2.57727;2013;;0.3577;44.3009
Airaines;Wind;12.0;2013;;1.9449;49.972
Airan;Wind;8.0;2013;;-0.146;49.0948
Aire-sur-l'Adour;Solar;2.23527;2013;;-0.2643;43.6991
Aix-en-Provence;Biomass;4.245;2013;;5.3984;43.5361
Aix-en-Provence;Solar;8.36119;2013;;5.3984;43.5361
Aizenay;Solar;1.36627;2013;;-1.6268;46.7385
Ajaccio;Solar;2.20953;2013;;8.7013;41.9349
Albaret-le-Comtal;Hydro;11.68;2013;;3.1442;44.8674
Albas;Hydro;1.8;2013;;1.2406;44.4614
Albi;Solar;6.70448;2013;;2.1475;43.9257
Albias;Solar;2.41;2013;;1.4485;44.0818
Allaire;Wind;8.2;2013;;-2.1774;47.6396
Allanche;Wind;24.0;2013;;2.9535;45.2312
Allemant;Biomass;1.26;2013;;3.4535;49.4624
Allement;Hydro;32.0;2013;;5.422;46.112
Allemond;Hydro;5.3;2013;;6.0178;45.1704
Allery;Wind;4.6;2013;;1.8856;49.9596
Allibaudières;Wind;35.0;2013;;4.1483;48.6071
Allondrelle-la-Malmaison;Wind;10.76;2013;;5.5684;49.5112
Allones 1;Solar;4.5;2013;;0.151;47.945
Allonnes;Wind;52.275;2013;;1.676;48.3407
Alluyes;Wind;12.0;2013;;1.3648;48.229
Ally;Wind;31.5;2013;;3.3009;45.1733
Alès;Solar;3.5015;2013;;4.0888;44.1254
Aléria;Solar;3.66198;2013;;9.496;42.1061
Amanty;Wind;12.3;2013;;5.605;48.5156
Amanvillers;Biomass;1.06;2013;;6.0462;49.1599
Ambarès-et-Lagrave;Solar;1.08202;2013;;-0.5008;44.9438
Ambon;Wind;10.02;2013;;-2.5395;47.5576
Ambonville;Wind;10.0;2013;;5.0106;48.3139
Ambricourt;Wind;4.0;2013;;2.1709;50.4662
Ambrières-les-Vallées;Hydro;1.4;2013;;-0.6245;48.4228
Amelécourt;Wind;12.0;2013;;6.4881;48.8406
Amiens;Biomass;2.83;2013;;2.2907;49.9003
Anetz;Solar;1.05656;2013;;-1.0942;47.3811
Angers;Solar;1.11625;2013;;-0.5561;47.4766
Anglet;Solar;2.57113;2013;;-1.5157;43.4912
Angoulême;Solar;1.06144;2013;;0.145;45.6476
Anost;Hydro;1.9;2013;;4.0922;47.0767
Anoux;Wind;10.25;2013;;5.8648;49.2733
Ansauvillers;Wind;11.5;2013;;2.3874;49.567
Anse-Bertrand;Wind;3.025;2013;;-61.4621;16.4653
Antibes;Biomass;11.44;2013;;7.1054;43.5876
Antoigné;Wind;8.0;2013;;-0.1322;47.0785
Appietto;Solar;4.74928;2013;;8.7342;42.0034
Apprieu;Solar;10.2;2013;;5.485;45.378
Apremont;Solar;1.29408;2013;;-1.749;46.7576
Aragnouet;Hydro;10.255;2013;;0.1782;42.7845
Arbéost;Hydro;2.0;2013;;-0.2738;42.9795
Arcambal;Hydro;2.4;2013;;1.5482;44.4548
Arconcey;Wind;12.0;2013;;4.4614;47.216
Ardeche ULM;Solar;12.0;2013;;4.369;44.545
Ardin;Wind;9.0;2013;;-0.555;46.4813
Ardouval;Wind;12.0;2013;;1.2723;49.7414
Arette;Hydro;1.228;2013;;-0.7361;43.0403
Arfons;Wind;22.0;2013;;2.1895;43.4241
Argancy;Hydro;4.1;2013;;6.2102;49.1984
Argentat;Hydro;47.5;2013;;1.954;45.104
Argenteuil;Biomass;10.3;2013;;2.2406;48.9518
Argentiere-La Bessee;Hydro;38.0;2013;;6.548;44.783
Argentine;Hydro;6.286;2013;;6.3328;45.4894
Arles;Solar;9.07405;2013;;4.6617;43.5468
Arlos;Hydro;5.3;2013;;0.6955;42.8744
Arpajon-sur-Cère;Biomass;4.41;2013;;2.4647;44.8759
Arpajon-sur-Cère;Solar;11.27645;2013;;2.4647;44.8759
Arques;Biomass;8.9;2013;;2.3196;50.7409
Arras-sur-Rhône;Solar;4.24212;2013;;4.8038;45.1433
Arreau;Hydro;10.495;2013;;0.3356;42.9143
Arsac;Solar;48.23768;2013;;-0.7447;44.9837
Artemare;Hydro;4.543;2013;;5.6901;45.8699
Artemps;Wind;10.12;2013;;3.1974;49.7615
Artouste;Hydro;88.0;2013;;-0.411;42.887
Arudy;Hydro;1.148;2013;;-0.4746;43.1005
Arvillard;Hydro;8.5;2013;;6.1709;45.4095
Assac;Wind;20.0;2013;;2.4342;43.9786
Assigny;Wind;12.0;2013;;1.287;49.9828
Aste-Béon;Hydro;1.12;2013;;-0.3973;43.0303
Aubagne;Solar;2.5022;2013;;5.5633;43.2936
Aubas;Hydro;1.126;2013;;1.1985;45.0792
Aubenas;Solar;1.3489;2013;;4.3957;44.6103
Aubergenville;Solar;10.68047;2013;;1.8494;48.9629
Aubigny;Wind;10.5;2013;;-0.2155;48.914
